Found 36 paths:
ID: INAN | Name: Andaman and Nicobar
ID: INTG | Name: Telangana
ID: INAP | Name: Andhra Pradesh
ID: INAR | Name: Arunachal Pradesh
ID: INAS | Name: Assam
ID: INBR | Name: Bihar
ID: INCH | Name: Chandigarh
ID: INCT | Name: Chhattisgarh
ID: INDH | Name: Dādra and Nagar Haveli and Damān and Diu
ID: INDL | Name: Delhi
ID: INGA | Name: Goa
ID: INGJ | Name: Gujarat
ID: INHR | Name: Haryana
ID: INHP | Name: Himachal Pradesh
ID: INJH | Name: Jharkhand
ID: INKA | Name: Karnataka
ID: INKL | Name: Kerala
ID: INMP | Name: Madhya Pradesh
ID: INMH | Name: Maharashtra
ID: INMN | Name: Manipur
ID: INML | Name: Meghalaya
ID: INMZ | Name: Mizoram
ID: INNL | Name: Nagaland
ID: INOR | Name: Orissa
ID: INPY | Name: Puducherry
ID: INPB | Name: Punjab
ID: INRJ | Name: Rajasthan
ID: INSK | Name: Sikkim
ID: INTN | Name: Tamil Nadu
ID: INTR | Name: Tripura
ID: INUP | Name: Uttar Pradesh
ID: INUT | Name: Uttaranchal
ID: INWB | Name: West Bengal
ID: INLD | Name: Lakshadweep
ID: INJK | Name: Jammu and Kashmir
ID: INLA | Name: Ladakh
